Anio,Country ID,Country,Trade Value Export,Trade Value Import,Trade Value Delta,ISO 3
2020,ago,Angola,89352,3911,85441,AGO
2020,bfa,Burkina Faso,51080,715,50365,BFA
2020,caf,República Centroafricana,0,20,-20,CAF
2020,civ,Côte d'Ivoire,2953681,52266,2901415,CIV
2020,cmr,Camerún,152062,23,152039,CMR
2020,cog,"Congo, República del",0,67,-67,COG
2020,com,Comoras,0,161,-161,COM
2020,egy,Egipto,1353851,49341,1304510,EGY
2020,eri,Eritrea,0,1428,-1428,ERI
2020,esh,Sahara Occidental,0,11565,-11565,ESH
2020,gab,Gabón,21939,151,21788,GAB
2020,gha,Ghana,3516787,13,3516774,GHA
2020,gin,Guinea,118063,80,117983,GIN
2020,gmb,Gambia,0,659,-659,GMB
2020,mar,Marruecos,2532948,348243,2184705,MAR
2020,mdg,Madagascar,200408,668,199740,MDG
2020,mrt,Mauritania,0,279,-279,MRT
2020,mwi,Malawi,0,753,-753,MWI
2020,myt,Mayotte,0,25,-25,MYT
2020,nam,Namibia,634206,726,633480,NAM
2020,nga,Nigeria,4893875,43787,4850088,NGA
2020,reu,Réunion,0,13800,-13800,REU
2020,sen,Senegal,831432,376,831056,SEN
2020,sle,Sierra Leona,12000,4460,7540,SLE
2020,som,Somalia,0,632,-632,SOM
2020,swz,Esuatini,288775,35963,252812,SWZ
2020,syc,Seychelles,0,66451,-66451,SYC
2020,tcd,Chad,0,14,-14,TCD
2020,tun,Túnez,633172,370211,262961,TUN
2020,tza,Tanzania,250000,565,249435,TZA
2020,uga,Uganda,58681,15652,43029,UGA
2020,zaf,Sudáfrica,48133566,72360201,-24226635,ZAF
2020,ata,Antártida,0,401,-401,ATA
2020,afg,Afganistán,0,13959,-13959,AFG
2020,are,Emiratos Árabes Unidos,165130748,1811057,163319691,ARE
2020,bgd,Bangladesh,137432,21697,115735,BGD
2020,brn,Brunéi,2372630,210,2372420,BRN
2020,btn,Bhutan,0,3823,-3823,BTN
2020,chn,China,1180079840,3055337369,-1875257529,CHN
2020,cyp,Chipre,1826925,755,1826170,CYP
2020,geo,Georgia,206800,241,206559,GEO
2020,hkg,Hong Kong,79076779,2111905,76964874,HKG
2020,idn,Indonesia,7038694,163683964,-156645270,IDN
2020,ind,India,16105106,1274217304,-1258112198,IND
2020,iot,Territorio Británico del Océano Índico,0,39,-39,IOT
2020,irn,Irán,227594,6,227588,IRN
2020,isr,Israel,71773754,677397,71096357,ISR
2020,jor,Jordania,1931426,60567,1870859,JOR
2020,jpn,Japón,621474121,2851178443,-2229704322,JPN
2020,khm,Camboya,4432168,1080454,3351714,KHM
2020,kor,Corea del Sur,853040203,1294135151,-441094948,KOR
2020,lka,Sri Lanka,1425945,234068,1191877,LKA
2020,mac,Macau,1800,178373,-176573,MAC
2020,mmr,Birmania,2072658,1628,2071030,MMR
2020,mng,Mongolia,509648,53,509595,MNG
2020,mys,Malasia,15063296,15390458,-327162,MYS
2020,npl,Nepal,219118,107,219011,NPL
2020,omn,Omán,18386557,3686193,14700364,OMN
2020,pak,Pakistán,208229,63656,144573,PAK
2020,phl,Filipinas,4083950,7536519,-3452569,PHL
2020,qat,Katar,34437859,299,34437560,QAT
