ANIO,MARCA,UNI_VEH
2006,Chrysler,175022
2006,Ford Motor,125185
2006,General Motors,167717
2006,Honda,-32364
2006,Nissan,-19495
2006,Toyota,-49977
2006,Volkswagen,148537
2007,Chrysler,143568
2007,Ford Motor,115705
2007,General Motors,153541
2007,Honda,-37196
2007,Nissan,100148
2007,Toyota,-33959
2007,Volkswagen,198213
2008,Chrysler,137464
2008,Ford Motor,147408
2008,General Motors,174774
2008,Honda,-20020
2008,Nissan,68942
2008,Toyota,-13214
2008,Volkswagen,263355
2009,Chrysler,52674
2009,Ford Motor,142311
2009,General Motors,142191
2009,Honda,1584
2009,Nissan,69540
2009,Toyota,-9295
2009,Volkswagen,173885
2010,Chrysler,145504
2010,Ford Motor,298224
2010,General Motors,304522
2010,Honda,3131
2010,Nissan,154725
2010,Toyota,7509
2010,Volkswagen,240389
2011,Chrysler,184045
2011,Ford Motor,363937
2011,General Motors,274734
2011,Honda,2003
2011,Nissan,187151
2011,Toyota,960
2011,Volkswagen,303156
2012,Chrysler,255195
2012,Ford Motor,302337
2012,General Motors,278894
2012,Honda,-12614
2012,Nissan,222376
2012,Toyota,-617
2012,Volkswagen,384168
2013,Chrysler,273370
2013,Ford Motor,434496
2013,General Motors,324129
2013,Honda,-20583
2013,Nissan,186083
2013,Toyota,2984
2013,Volkswagen,267624
2014,Chrysler,354849
2014,Ford Motor,347477
2014,General Motors,336544
2014,Honda,44610
2014,Nissan,247253
2014,Toyota,1801
2014,Volkswagen,237888
2015,Chrysler,369623
2015,Ford Motor,325180
2015,General Motors,283783
2015,Honda,88913
2015,Nissan,171565
2015,Toyota,16312
2015,Volkswagen,214150
2016,Chrysler,352971
2016,Ford Motor,277614
2016,General Motors,230888
2016,Honda,117684
2016,Nissan,99333
2016,Toyota,30111
2016,Volkswagen,127900
2017,Chrysler,516887
2017,Ford Motor,225680
2017,General Motors,435259
2017,Honda,98982
2017,Nissan,104759
2017,Toyota,42666
2017,Volkswagen,193418
2018,Chrysler,562868
2018,Ford Motor,204224
2018,General Motors,575885
2018,Honda,46721
2018,Nissan,184299
2018,Toyota,78808
2018,Volkswagen,220373
2019,Chrysler,496256
2019,Ford Motor,193891
2019,General Motors,615856
2019,Honda,106187
2019,Nissan,174092
2019,Toyota,86006
2019,Volkswagen,272272
2020,Chrysler,379945
2020,Ford Motor,93588
2020,General Motors,531961
2020,Honda,71409
2020,Nissan,146701
2020,Toyota,84854
2020,Volkswagen,177718
