ANIO,MARCA,UNI_VEH
2006,Chrysler,303468
2006,Ford Motor,302780
2006,General Motors,412807
2006,Honda,15107
2006,Nissan,208820
2006,Toyota,10111
2006,Volkswagen,283564
2007,Chrysler,272109
2007,Ford Motor,263452
2007,General Motors,383943
2007,Honda,15755
2007,Nissan,314269
2007,Toyota,32249
2007,Volkswagen,331453
2008,Chrysler,253601
2008,Ford Motor,272924
2008,General Motors,387152
2008,Honda,34112
2008,Nissan,280964
2008,Toyota,50092
2008,Volkswagen,382755
2009,Chrysler,135011
2009,Ford Motor,231003
2009,General Motors,280673
2009,Honda,36829
2009,Nissan,225726
2009,Toyota,42696
2009,Volkswagen,271391
2010,Chrysler,224078
2010,Ford Motor,384959
2010,General Motors,460112
2010,Honda,41121
2010,Nissan,344243
2010,Toyota,54278
2010,Volkswagen,350721
2011,Chrysler,266117
2011,Ford Motor,449925
2011,General Motors,443237
2011,Honda,36429
2011,Nissan,411660
2011,Toyota,49549
2011,Volkswagen,429987
2012,Chrysler,343218
2012,Ford Motor,384665
2012,General Motors,465277
2012,Honda,39737
2012,Nissan,467338
2012,Toyota,55661
2012,Volkswagen,518132
2013,Chrysler,352344
2013,Ford Motor,520217
2013,General Motors,525733
2013,Honda,37798
2013,Nissan,449560
2013,Toyota,63724
2013,Volkswagen,423937
2014,Chrysler,423862
2014,Ford Motor,426574
2014,General Motors,553502
2014,Honda,104738
2014,Nissan,538982
2014,Toyota,71398
2014,Volkswagen,397976
2015,Chrysler,446800
2015,Ford Motor,412703
2015,General Motors,539933
2015,Honda,162418
2015,Nissan,518689
2015,Toyota,101091
2015,Volkswagen,393263
2016,Chrysler,430899
2016,Ford Motor,376883
2016,General Motors,539512
2016,Honda,205628
2016,Nissan,500388
2016,Toyota,135066
2016,Volkswagen,333940
2017,Chrysler,589572
2017,Ford Motor,307378
2017,General Motors,693782
2017,Honda,187177
2017,Nissan,469316
2017,Toyota,148130
2017,Volkswagen,386122
2018,Chrysler,626677
2018,Ford Motor,273009
2018,General Motors,811954
2018,Honda,130542
2018,Nissan,496333
2018,Toyota,187569
2018,Volkswagen,377437
2019,Chrysler,551929
2019,Ford Motor,251454
2019,General Motors,827843
2019,Honda,179174
2019,Nissan,442248
2019,Toyota,191669
2019,Volkswagen,415921
2020,Chrysler,423623
2020,Ford Motor,130750
2020,General Motors,682217
2020,Honda,119391
2020,Nissan,341128
2020,Toyota,161431
2020,Volkswagen,277468
