"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Chrysler","PT Cruiser","Automóviles","Compactos",11444
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",2452
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",5734
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Chrysler","RAM 3500","Camiones ligeros","Pick Ups",3928
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",432
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Ford Motor","F 150","Camiones ligeros","Pick Ups",922
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Ford Motor","F 250","Camiones ligeros","Pick Ups",507
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Ford Motor","F 350","Camiones ligeros","Pick Ups",856
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Ford Motor","F 450","Camiones ligeros","Pick Ups",117
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Ford Motor","F 550","Camiones ligeros","Pick Ups",37
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Ford Motor","Fiesta Ikon","Automóviles","Subcompactos",472
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Ford Motor","Fusion","Automóviles","Compactos",14588
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Ford Motor","H - 215","Camiones ligeros","Pick Ups",815
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Ford Motor","LCF","Camiones ligeros","Pick Ups",471
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Ford Motor","Milan-","Automóviles","De Lujo",3289
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Ford Motor","MKZ-","Automóviles","De Lujo",3048
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",2246
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","General Motors","Chevy 3 Ptas","Automóviles","Subcompactos",2452
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","General Motors","Chevy 4 PTAS","Automóviles","Subcompactos",1084
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","General Motors","Chevy 5 Ptas","Automóviles","Subcompactos",1995
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","General Motors","Escalade ESV SUV AWD","Camiones ligeros","Minivans",734
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","General Motors","Escalade EXT UUV 4X4","Camiones ligeros","Minivans",714
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","General Motors","HHR 5 PTAS","Automóviles","Compactos",8727
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","General Motors","Kodiak Chassis Cab Class 6 PBV23,900","Camiones ligeros","Pick Ups",26
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","General Motors","Kodiak Chassis Cab Class 7 PBV33,000","Camiones ligeros","Pick Ups",51
