PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,2011,01,001,1244,5307,231397,2,1435,383,1145,1116,89960,253,4,16429,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,01,002,5,25,2779,1,1,11,28,16,3874,6,0,195,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,01,003,4,159,7080,0,1,3,30,4,10761,1,0,168,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,01,004,3,15,1166,0,0,4,10,0,1507,0,0,117,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,01,005,9,92,13402,0,49,52,49,13,9352,9,0,926,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,01,006,14,105,5943,0,5,14,36,21,4124,11,0,651,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,01,007,10,76,5715,0,3,30,23,13,5944,3,0,826,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,01,008,5,22,730,0,0,0,8,3,1408,0,0,32,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,01,009,4,34,1452,0,0,2,20,0,2486,0,0,93,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,01,010,10,16,1579,0,0,0,21,0,2545,0,0,77,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,01,011,9,31,5056,0,0,17,43,6,3950,2,0,259,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,02,001,0,199,76198,0,396,448,0,245,30341,0,0,558,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,02,002,0,516,226690,0,683,302,0,498,62181,0,0,2149,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,02,003,0,72,25264,0,59,143,0,86,10854,0,0,273,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,02,004,0,3896,332839,0,2466,407,0,2465,101460,0,0,4480,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,02,005,0,681,21221,0,174,39,0,48,9151,0,0,228,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,03,001,3,973,38373,0,149,50,41,1542,31208,5,0,42,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,03,002,80,153,13084,37,2,22,81,134,11520,2,0,66,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,03,003,0,1658,146132,0,518,371,0,1356,51655,0,0,3115,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,03,008,277,3206,122335,201,362,2478,258,863,67414,17,712,3326,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,03,009,0,204,5121,0,14,2,0,168,3882,0,0,50,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,04,001,1,55,3123,0,9,4,12,5,1298,15,1440,1333,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,04,002,316,995,42292,8,378,135,704,332,16064,100,3034,17222,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,04,003,9,699,38296,0,143,51,17,369,12773,2,2419,8183,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,04,004,9,177,4667,0,29,14,81,24,4907,1,1752,2438,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,04,005,3,44,1420,1,0,1,15,4,822,3,48,639,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,04,006,10,20,1427,0,0,6,23,0,1741,1,0,756,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,04,007,2,23,517,0,0,2,10,14,331,0,0,294,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,04,008,2,8,424,0,0,1,16,0,368,0,0,166,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,04,009,4,134,3488,1,20,6,19,39,4360,1,0,2714,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2011,04,010,5,100,598,0,0,0,24,1,587,1,0,401,Cifras Definitivas.
