"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ID_PAIS_DESTINO","UNI_VEH"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2014,"01","Chrysler","Journey","Camiones ligeros","SUV's",4,94
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2014,"01","Chrysler","Journey","Camiones ligeros","SUV's",12,214
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2014,"01","Chrysler","Journey","Camiones ligeros","SUV's",16,43
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2014,"01","Chrysler","Journey","Camiones ligeros","SUV's",23,17
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2014,"01","Chrysler","Journey","Camiones ligeros","SUV's",28,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2014,"01","Chrysler","Journey","Camiones ligeros","SUV's",31,30
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2014,"01","Chrysler","Journey","Camiones ligeros","SUV's",32,13
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2014,"01","Chrysler","Journey","Camiones ligeros","SUV's",40,1794
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2014,"01","Chrysler","Journey","Camiones ligeros","SUV's",42,17
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2014,"01","Chrysler","Journey","Camiones ligeros","SUV's",43,2553
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2014,"01","Chrysler","Journey","Camiones ligeros","SUV's",46,160
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2014,"01","Chrysler","Journey","Camiones ligeros","SUV's",57,33
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2014,"01","Chrysler","Journey","Camiones ligeros","SUV's",66,6595
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2014,"01","Chrysler","Journey","Camiones ligeros","SUV's",70,2
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2014,"01","Chrysler","Journey","Camiones ligeros","SUV's",73,0
