"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Chrysler","Crew Cab-","Camiones ligeros","Pick Ups",5650
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Chrysler","Journey","Camiones ligeros","SUV's",7838
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",235
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",2299
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Chrysler","RAM 3500","Camiones ligeros","Pick Ups",50
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",1425
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Chrysler","RAM 4000 Diesel","Camiones ligeros","Pick Ups",18
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Fiat","Fiat 500-","Automóviles","Subcompactos",908
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Ford Motor","Fiesta NA Sedan","Automóviles","Subcompactos",7088
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Ford Motor","Fiesta NA 5 DR","Automóviles","Subcompactos",3822
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Ford Motor","Fusion","Automóviles","Compactos",25734
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Ford Motor","H - 215","Camiones ligeros","Pick Ups",504
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Ford Motor","MKZ-","Automóviles","De Lujo",2328
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",1833
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","General Motors","Aveo-","Automóviles","Subcompactos",4176
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","General Motors","Captiva Sport","Camiones ligeros","SUV's",2233
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","General Motors","Chevy 3 Ptas","Automóviles","Subcompactos",1292
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","General Motors","Chevy 4 PTAS","Automóviles","Subcompactos",1842
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","General Motors","Escalade EXT UUV 4X4","Camiones ligeros","Minivans",235
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","General Motors","GMC Sierra Doble Cabina","Camiones ligeros","Pick Ups",6339
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","General Motors","HHR 5 PTAS","Automóviles","Compactos",6373
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","General Motors","Saab 9-4x","Automóviles","De Lujo",16
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","General Motors","Silverado 1500 Cabina Regular-","Camiones ligeros","Pick Ups",345
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","General Motors","Silverado 2500 Cabina Regular-","Camiones ligeros","Pick Ups",104
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","General Motors","Silverado 2500 Doble Cabina-","Camiones ligeros","Pick Ups",14744
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","General Motors","Silverado 3500 Chassis Cab","Camiones ligeros","Pick Ups",193
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","General Motors","Silverado 3500 HD Chassis Cab Heavy Duty","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","General Motors","SRX SUV-","Camiones ligeros","SUV's",6107
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Honda","Accord 4PTS-","Automóviles","De Lujo",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Honda","CR-V-","Camiones ligeros","SUV's",4547
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Chasis Largo","Camiones ligeros","Pick Ups",2151
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Chasis Largo Diesel","Camiones ligeros","Pick Ups",209
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Estacas Largo","Camiones ligeros","Pick Ups",504
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Estacas Largo Diesel","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Frontier L4","Camiones ligeros","Pick Ups",200
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Pickup Doble Cabina","Camiones ligeros","Pick Ups",2787
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Pickup Doble Cabina Diesel","Camiones ligeros","Pick Ups",12
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Pickup Largo","Camiones ligeros","Pick Ups",820
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Pickup Largo Diesel","Camiones ligeros","Pick Ups",6
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Platina 4 PTS","Automóviles","Subcompactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Sentra","Automóviles","Compactos",16918
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Sentra SE R","Automóviles","Compactos",40
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Sentra 4 PTS","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Tiida Sedan","Automóviles","Compactos",11231
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Tiida 5 PTS","Automóviles","Compactos",9286
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Tsubame","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Nissan","Tsuru 4 PTS","Automóviles","Subcompactos",7234
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Renault","Clio","Automóviles","Subcompactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Renault","Scenic","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Toyota","Tacoma-","Camiones ligeros","Pick Ups",4582
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Volkswagen","Beetle","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Volkswagen","Beetle Cabrio","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Volkswagen","Jetta","Automóviles","Compactos",18512
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Volkswagen","Jetta TDI","Automóviles","Compactos",54
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Volkswagen","Jetta 4 PTAS","Automóviles","Compactos",7802
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2011,"01","Volkswagen","Nuevo Jetta TDI","Automóviles","Compactos",191
