PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,2015,01,001,1143,3724,250716,12,612,511,1339,224,91448,291,4,33279,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,01,002,4,33,4268,0,4,13,10,0,4703,4,0,1214,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,01,003,3,143,8635,0,0,9,28,3,11147,8,0,632,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,01,004,1,13,1748,0,0,4,7,0,1684,0,0,483,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,01,005,36,129,23012,0,83,82,49,11,12513,13,0,2831,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,01,006,10,95,7645,0,5,24,17,6,4708,3,0,763,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,01,007,10,82,7599,0,1,34,18,5,6450,1,0,2872,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,01,008,4,48,1093,0,0,1,3,0,1610,1,0,191,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,01,009,1,39,2317,0,0,5,10,1,2743,0,0,468,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,01,010,8,28,2617,0,0,6,11,0,2997,0,0,561,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,01,011,23,27,8336,0,0,15,40,3,4893,2,0,961,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,02,001,0,431,94559,0,657,676,0,234,35561,0,0,853,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,02,002,0,746,276580,0,640,420,0,462,72666,0,0,4299,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,02,003,0,113,29971,0,161,187,0,64,12197,0,0,318,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,02,004,0,3227,418602,0,1972,554,0,1421,118420,0,0,8417,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,02,005,0,587,27020,0,85,55,0,50,10440,0,0,473,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,03,001,3,989,41031,0,149,198,41,1558,32947,14,0,83,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,03,002,81,154,18312,49,3,136,0,142,13968,4,0,91,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,03,003,0,1609,144502,0,506,1265,0,1185,49730,0,0,3938,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,03,008,263,4013,70717,11,196,2325,460,1184,30149,24,63,3318,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,03,009,6,239,5778,0,13,18,0,187,3952,0,0,58,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,04,001,0,70,4309,0,0,14,10,7,1675,3,10,4785,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,04,002,282,894,55045,12,187,334,716,245,18888,165,12,29160,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2015,04,003,8,1244,51448,0,145,71,15,259,16036,1,171,14600,Cifras Definitivas.
