"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ID_PAIS_DESTINO","UNI_VEH"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","Chrysler","PT Cruiser","Automóviles","Compactos",4,2186
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","Chrysler","PT Cruiser","Automóviles","Compactos",40,86
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","Chrysler","PT Cruiser","Automóviles","Compactos",66,4904
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",40,21
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",66,513
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",40,731
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",66,5293
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",40,539
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",66,4059
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","Ford Motor","Focus ZX3","Automóviles","Compactos",66,2380
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","Ford Motor","H - 215","Camiones ligeros","Pick Ups",66,1036
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",12,18
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",14,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",19,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",40,416
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",42,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",50,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2005,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",59,0
