ENGLISH,SPANISH
Afghanistan         ,Afganistán         
Albania         ,Albania         
Germany         ,Alemania         
Andorra         ,Andorra         
Angola         ,Angola         
Antigua and Barbuda         ,Antigua y Barbuda         
Saudi Arabia         ,Arabia Saudita         
Algeria         ,Argelia         
Argentina         ,Argentina         
Armenia         ,Armenia         
Aruba,Aruba
Australia         ,Australia         
Austria         ,Austria         
Azerbaijan         ,Azerbaiján         
Bahamas         ,Bahamas         
Bangladesh         ,Bangladés         
Barbados         ,Barbados         
Bahrain         ,Bahrein
Belgium         ,Bélgica         
Belize         ,Belice         
Benin         ,Benín         
Belarus         ,Bielorrusia         
Myanmar         ,Birmania         
Bolivia         ,Bolivia         
Bosnia and Herzegovina         ,Bosnia-Herzegovina         
Botswana         ,Botsuana         
Brazil         ,Brasil         
Brunei         ,Brunéi         
Bulgaria         ,Bulgaria         
Burkina Faso         ,Burkina Faso         
Burundi         ,Burundi         
Bhutan         ,Bután         
Cape Verde         ,Cabo Verde         
Cambodia         ,Camboya         
Cameroon         ,Camerún         
Canada         ,Canadá         
Qatar         ,Qatar         
Chad         ,Chad         
Chile         ,Chile         
China         ,China         
Cyprus         ,Chipre         
Colombia         ,Colombia         
Comoros         ,Comoras         
North Korea         ,Corea del Norte         
South Korea         ,Corea del Sur         
Côte d’Ivoire         ,Costa de Marfil         
Costa Rica         ,Costa Rica         
Croatia         ,Croacia         
Cuba         ,Cuba         
Curazao,Curazao
Denmark         ,Dinamarca         
Dominica         ,Dominica         
Ecuador         ,Ecuador         
Egypt         ,Egipto         
El Salvador         ,El Salvador         
United Arab Emirates         ,Emiratos Árabes Unidos         
Eritrea         ,Eritrea         
Slovakia         ,Eslovaquia         
Slovenia         ,Eslovenia         
Spain         ,España         
United States of America         ,Estados Unidos         
Estonia         ,Estonia         
Ethiopia         ,Etiopía         
Philippines         ,Filipinas         
Finland         ,Finlandia         
Fiji         ,Fiyi         
France         ,Francia         
Gabon         ,Gabón         
Gambia         ,Gambia         
Georgia         ,Georgia         
Ghana         ,Ghana         
Grenada         ,Granada         
Greece         ,Grecia         
Guatemala         ,Guatemala         
Guinea         ,Guinea
Equatorial Guinea         ,Guinea Ecuatorial         
Guinea-Bissau         ,Guinea-Bisáu         
Guyana         ,Guyana Francesa
Haiti         ,Haití         
Honduras         ,Honduras         
Hungary         ,Hungría         
India         ,India         
Indonesia         ,Indonesia         
Iraq         ,Irak         
Iran         ,Irán         
