Concepto,undefined 2003,undefined 2004,undefined 2005,undefined 2006,undefined 2007,undefined 2008,undefined 2009,undefined 2010,undefined 2011,undefined 2012,undefined 2013,undefined 2014,undefined 2015,undefined 2016,undefined 2017,undefined 2018 R,undefined 2019 R
Valores constantes,,,,,,,,,,,,,,,,,
Millones de pesos,,,,,,,,,,,,,,,,,
a  B.1bP - Producto interno bruto,13061718.521,13573815.057,13887072.52,14511307.247,14843825.975,15013577.681,14219998.379,14947794.696,15495333.601,16059723.651,16277187.078,16741050.002,17292358.146,17747239.234,18122261.317,18520043.997,18487337.7
"D.21-D.31 - Impuestos sobre los productos, netos",502613.351,523127.863,539350.648,579923.499,589361.736,610821.055,571451.401,595394.031,619537.009,628731.148,634567.233,673892.217,712944.627,764688.949,792451.962,818779.401,817493.833
a  B.1bV - Valor agregado bruto,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,12559105.155999998,13050687.196999999,13347721.874000004,13931383.746000003,14254464.21,14402756.617,13648546.979,14352400.662999999,14875796.602999998,15430992.520999998,15642619.842000002,16067157.783000002,16579413.533999998,16982550.313000005,17329809.356000002,17701264.606999997,17669843.873000007
Aguascalientes,121197.63399999999,126554.147,129628.02800000002,138111.823,150305.117,150949.983,143253.947,152205.212,158934.494,167705.967,172820.491,190482.862,198220.641,211672.469,216705.56,224891.592,222651.573
Baja California,399514.62399999995,423005.49899999995,433008.16599999997,456019.296,461581.2740000001,457556.565,407745.948,428162.546,440700.662,456024.47200000007,465524.69499999995,478121.939,511459.52799999993,535552.6510000001,553327.213,566045.913,575784.0129999999
Baja California Sur,76047.59300000001,81546.00899999999,87397.67000000001,93655.622,106199.426,108975.35599999999,108338.81099999999,110656.4,114707.76200000002,117345.83299999998,115027.644,116027.01800000001,130520.64199999998,133948.675,148376.63,173200.594,159009.788
Campeche,1047511.322,1059561.025,1038533.775,1014280.3500000001,947575.4930000001,867231.044,780757.429,753968.591,726503.856,714787.0650000002,721085.0629999998,685981.2699999999,637604.643,600612.2719999999,537882.577,529465.6950000001,517433.151
Coahuila de Zaragoza,436573.518,449143.882,458867.90699999995,480488.194,500478.657,498326.775,421327.48899999994,489951.77599999995,523207.11199999996,549551.802,538206.987,559217.153,563928.44,572243.615,601722.0519999999,608138.802,604192.363
Colima,67732.93,67794.051,68258.171,72533.785,77526.37,78953.717,76446.9,81992.17799999999,87944.96900000001,90540.289,91422.446,93703.258,95878.066,98576.21100000001,102039.42900000002,105031.02999999997,109564.087
Chiapas,248123.22699999996,238375.89,240279.55899999998,248414.30200000003,252536.304,258289.89,256698.36200000002,270989.331,279446.584,284733.625,280925.273,294029.16500000004,287811.83099999995,287034.269,277580.835,267664.128,260612.446
Chihuahua,360426.663,376662.637,389210.79399999994,419631.539,434649.92,440792.887,401079.179,417796.42,427430.02700000006,459166.22,476290.197,485693.517,510642.91400000005,534205.546,551497.3030000001,564077.669,572787.223
Ciudad de México,2132929.372,2226949.736,2258091.583,2374722.886,2408565.8649999998,2450391.202,2362516.439,2446910.4390000002,2533806.8929999997,2633934.6419999995,2673066.3310000002,2748551.9879999994,2869792.9079999994,2957233.5940000005,3045539.859000001,3126459.566,3133609.299
Durango,152922.727,157662.281,155001.88600000003,160388.081,162709.802,165722.989,163083.647,169268.08399999997,176314.713,182943.05599999998,189052.81199999998,192968.62900000002,192888.101,200660.962,199559.31,202272.02899999998,204074.12300000002
