"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Chrysler","PT Cruiser","Automóviles","Compactos",12136
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",20
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",959
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Chrysler","RAM 3500","Camiones ligeros","Pick Ups",1009
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",63
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Ford Motor","F 150","Camiones ligeros","Pick Ups",1119
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Ford Motor","F 250","Camiones ligeros","Pick Ups",1035
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Ford Motor","F 350","Camiones ligeros","Pick Ups",1325
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Ford Motor","F 450","Camiones ligeros","Pick Ups",513
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Ford Motor","F 550","Camiones ligeros","Pick Ups",172
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Ford Motor","Fiesta Ikon","Automóviles","Subcompactos",828
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Ford Motor","Fusion","Automóviles","Compactos",12781
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Ford Motor","H - 215","Camiones ligeros","Pick Ups",1009
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Ford Motor","LCF","Camiones ligeros","Pick Ups",227
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Ford Motor","Milan-","Automóviles","De Lujo",2945
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Ford Motor","MKZ-","Automóviles","De Lujo",2355
