"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ID_PAIS_DESTINO","UNI_VEH"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","Journey","Camiones ligeros","SUV's",40,226
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","Journey","Camiones ligeros","SUV's",66,3149
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","Journey","Camiones ligeros","SUV's",999,18
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","PT Cruiser","Automóviles","Compactos",40,240
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","PT Cruiser","Automóviles","Compactos",66,3143
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","PT Cruiser","Automóviles","Compactos",999,659
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",40,18
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",66,175
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",999,2
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",4,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",12,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",40,282
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",66,2015
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",999,199
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",40,424
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",66,2240
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",999,5
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Ford Motor","Fusion","Automóviles","Compactos",66,17452
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Ford Motor","H - 215","Camiones ligeros","Pick Ups",66,346
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Ford Motor","LCF","Camiones ligeros","Pick Ups",66,30
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Ford Motor","Milan-","Automóviles","De Lujo",66,1717
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","Ford Motor","MKZ-","Automóviles","De Lujo",66,2058
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",12,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",14,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",19,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",40,275
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",50,6
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",59,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",66,4002
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",85,5
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2008,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",92,3
