"Nation ID","Nation","State ID","State","Trade Value","Growth Value","Growth Percentage"
"mex","México",1,"Aguascalientes",5108352001,600726735,0.13326900522641383
"mex","México",3,"Baja California Sur",3675347,-5844319,-0.6139205934325848
"mex","México",5,"Coahuila de Zaragoza",3552922210,-713230902,-0.16718361564684123
"mex","México",6,"Colima",2378240,1611861,2.103213810381273
"mex","México",7,"Chiapas",8938,-24763,-0.7347853179430878
"mex","México",8,"Chihuahua",3500667953,-659290824,-0.15848494164056473
"mex","México",9,"Ciudad de México",45655727715,-12680019104,-0.21736276286684253
"mex","México",10,"Durango",205950556,75929658,0.5839804152098688
"mex","México",11,"Guanajuato",6241068766,1799048657,0.40500686923049833
"mex","México",13,"Hidalgo",10104806,4392660,0.7690034533431043
"mex","México",14,"Jalisco",2896217379,-936979344,-0.24443810537215577
"mex","México",15,"Estado de México",961516399,-118661952,-0.109854036604233
"mex","México",17,"Morelos",149850810,9402170,0.06694383085517952
"mex","México",19,"Nuevo León",5580045276,-1068294187,-0.160685866488429
"mex","México",21,"Puebla",11061996569,-4285257710,-0.2792198286662153
"mex","México",22,"Querétaro",3139113506,-466904305,-0.12947920111879824
"mex","México",23,"Quintana Roo",697378,-5379672,-0.8852438460694175
"mex","México",24,"San Luis Potosí",2979397429,652545557,0.28044138311200645
"mex","México",25,"Sinaloa",251043,31944,0.14579710541809868
"mex","México",26,"Sonora",866468569,-340943434,-0.28237538850709043
"mex","México",28,"Tamaulipas",2322323528,-485413488,-0.17288424292575144
"mex","México",29,"Tlaxcala",111055995,1691263,0.015464427782806617
"mex","México",30,"Veracruz de Ignacio de la Llave",105789845,16639119,0.18664031055271843
"mex","México",31,"Yucatán",13746910,-3210859,-0.1893444349515809
"mex","México",32,"Zacatecas",100300058,4906218,0.051431182558538374
